STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
NC,2021-07-01,26.00661375661376,20.74761904761905,31.265608465608462,0.5144977168949771,74.98003426091323,6.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0
NC,2021-07-02,24.26276595744681,19.52910052910053,28.98989361702128,16.09591836734694,84.38879556199355,18.0,1.0,23.0,0.0,0.0,0.0,2.0,0.0
NC,2021-07-03,21.25956284153005,15.427173913043475,27.11141304347826,12.055396475770925,70.02515066237969,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
NC,2021-07-04,21.171703296703296,14.35989010989011,28.00054644808744,0.0177935943060498,66.38448457406253,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
NC,2021-07-05,22.92837837837838,15.94756756756757,29.921505376344083,0.0025882352941176,68.44287992322613,15.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
NC,2021-07-06,24.244262295081967,17.579234972677597,30.9145945945946,0.0591069330199764,69.05727313756391,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2021-07-07,24.80027173913044,18.61576086956521,30.986559139784948,0.3416279069767442,74.28721262108485,8.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0
NC,2021-07-08,24.51746031746032,20.32486772486773,28.71005291005291,6.96782988004362,88.60593013209454,14.0,0.0,12.0,0.0,0.0,0.0,3.0,1.0
NC,2021-07-09,24.723529411764705,20.28395721925133,29.16310160427808,25.97006369426752,82.0741437443512,17.0,1.0,13.0,0.0,0.0,0.0,4.0,2.0
NC,2021-07-10,25.20345744680851,19.766489361702128,30.640425531914893,7.15054347826087,79.744977611465,14.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0
NC,2021-07-11,25.65294117647059,20.68877005347594,30.61711229946524,2.608792497069168,82.80393988736061,17.0,4.0,13.0,0.0,0.0,0.0,1.0,0.0
NC,2021-07-12,26.01774193548388,21.374193548387098,30.661290322580644,3.815100671140939,78.37667529597397,8.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
