STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
NC,2019-08-16,25.64526315789474,8.217094017094018,84.64435578057076,20.32,30.97052631578947,18.0,0.0,20.0,0.0,0.0,0.0,3.0,1.0
NC,2019-08-17,25.414130434782606,12.754723926380368,85.96936374862563,20.304891304347827,30.52956989247312,21.0,2.0,22.0,0.0,0.0,0.0,5.0,0.0
NC,2019-08-18,25.96818181818182,11.037626262626262,81.61231098309044,20.280748663101605,31.673404255319145,21.0,1.0,21.0,0.0,0.0,0.0,1.0,0.0
NC,2019-08-19,26.72526595744681,1.347148288973384,79.29964294358473,20.80744680851064,32.678125,18.0,1.0,20.0,0.0,2.0,0.0,2.0,1.0
NC,2019-08-20,26.207894736842107,4.874060606060606,80.32531614048902,20.316315789473684,32.118229166666666,14.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0
NC,2019-08-21,26.326052631578943,3.3151219512195125,79.56997829207995,21.048947368421054,31.61780104712042,15.0,2.0,12.0,0.0,0.0,0.0,2.0,2.0
NC,2019-08-22,26.741666666666664,5.273454545454546,79.58680507289392,21.1109375,32.37461139896373,11.0,1.0,23.0,0.0,0.0,0.0,3.0,0.0
NC,2019-08-23,26.545967741935485,13.51549463647199,82.13157493896036,21.04301075268817,32.018085106382976,15.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
NC,2019-08-24,23.38491620111732,10.679952267303102,91.241906115551,18.72934782608696,27.96208791208792,17.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0
NC,2019-08-25,20.455277777777777,5.378806333739342,81.60514378593741,17.264285714285712,23.59130434782609,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2019-08-26,20.73901098901099,0.205852417302799,79.26276028035423,16.840217391304346,24.658152173913045,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-08-27,21.674324324324324,1.341747572815534,85.0987524960718,17.884324324324325,25.45347593582888,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
NC,2019-08-28,23.08891891891892,0.997205346294046,80.93552453035713,18.719459459459458,27.466129032258063,18.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2019-08-29,22.59,0.4903387703889586,66.7820620386808,15.9747311827957,29.21189189189189,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2019-08-30,22.015760869565216,0.0457215836526181,68.3615788263287,14.545652173913044,29.47675675675676,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-08-31,22.743956043956043,0.0012,70.34735816297578,15.096153846153848,30.386338797814208,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-09-01,23.372580645161293,0.154002541296061,76.25660520626873,16.638709677419357,30.10645161290323,13.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
NC,2019-09-02,24.044652406417114,2.527881040892193,80.28418611068366,18.005347593582886,30.09255319148936,14.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
NC,2019-09-03,24.777393617021275,1.2164233576642336,77.90591885745654,18.528191489361703,31.03015873015873,16.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2019-09-04,25.21904761904762,0.3660146699266503,81.13024371419857,19.227513227513228,31.21058201058201,18.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0
NC,2019-09-05,24.98351351351351,6.267668269230769,85.60889945029996,20.354054054054053,29.61297297297297,13.0,0.0,10.0,0.0,0.0,0.0,3.0,3.0
NC,2019-09-06,24.076775956284155,47.90475651189128,73.92979843265205,19.0792349726776,29.05217391304348,7.0,1.0,4.0,0.0,0.0,0.0,3.0,4.0
NC,2019-09-07,23.95567567567568,1.949936788874842,69.67867691298156,17.57891891891892,30.33243243243244,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
NC,2019-09-08,24.46021505376344,0.2560853199498117,74.94158772708192,17.75752688172043,31.162566844919784,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
NC,2019-09-09,25.004891304347822,1.5072215422276622,80.47648209969798,18.65815217391304,31.353513513513512,12.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0
NC,2019-09-10,25.156989247311827,3.446483909415971,81.70414226215418,19.00215053763441,31.30053191489361,18.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0
NC,2019-09-11,25.40185185185185,0.1862407862407862,78.35628064037415,19.19047619047619,31.61322751322751,27.0,6.0,3.0,1.0,0.0,0.0,5.0,0.0
NC,2019-09-12,26.01532258064516,0.2597546012269938,75.58609907476779,19.28655913978495,32.744086021505375,15.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
