STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT15,WT18
CO,2019-07-02,17.285342465753423,5.665893271461717,59.72150464774583,9.161141304347826,25.42065217391304,3.0,0.0,48.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-03,17.65490463215259,1.2076214405360135,47.95321971940498,9.086178861788618,26.20271739130435,1.0,0.0,22.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-04,17.8878453038674,0.1477598566308244,44.13632561682627,9.01153846153846,26.74109589041096,6.0,1.0,16.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-05,17.268630136986303,2.449753694581281,48.11310680858927,8.561580381471389,25.95190217391304,6.0,0.0,25.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-06,16.666256830601093,4.233635614179719,54.50914082952024,8.700544959128065,24.589701897018973,2.0,0.0,19.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-07,16.51684931506849,0.5905057675244011,55.33091067253024,8.796448087431694,24.21929347826088,8.0,3.0,25.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-08,16.521349862258955,1.9994117647058824,60.80070203581617,9.106027397260274,23.844565217391303,8.0,0.0,34.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-09,16.09707520891365,1.5503311258278143,45.05963440271242,7.026315789473684,25.08060109289617,1.0,0.0,15.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
CO,2019-07-10,17.49709944751381,0.0506666666666666,41.32426532169477,7.97554945054945,26.99258241758241,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-11,19.106629834254143,0.0644007155635062,43.67684656691395,10.050273224043716,28.12369146005509,2.0,0.0,15.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-12,19.860911602209946,0.2830508474576271,38.20514379593912,10.70899182561308,28.937912087912085,0.0,0.0,22.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
CO,2019-07-13,19.80730027548209,0.5763392857142857,44.00876702612088,10.850273224043717,28.708719346049048,0.0,0.0,28.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-14,19.728708791208792,1.875680272108844,49.27575543059193,11.313698630136988,28.165573770491804,1.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-15,19.552617079889806,1.5980849292256452,52.0080216475596,10.936438356164384,28.13890410958904,1.0,1.0,39.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-16,19.86304945054945,2.525258964143426,51.78488811262123,10.884972677595629,28.75258855585832,0.0,0.0,35.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-17,20.655342465753424,0.6057675996607294,41.8086620384076,12.38082191780822,28.87092391304348,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
CO,2019-07-18,20.11575342465753,0.2122484689413823,34.745484161428266,10.709264305177111,29.489373297002725,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-19,21.01517615176152,0.0276633840644583,31.642018084485137,11.468918918918918,30.528378378378378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
